Metadata,Avatar Prior,,,,,Avatar Creation,,,,,,Avatar Animation,,,,,,,Double Checked,Reviewer
chen2024egoavatar,Per-subject (custom multi-view + egocentric paired captures),Custom paired egocentric and multi-view benchmark,Real,Multi-view video,,"Tracked 3DMM, Cameras, Registered Meshes",Mono video,"SMPL body model, egocentric pose estimator",Yes,Slow (>6h),,"Pose, Video",None,Offline (<1 FPS),,"Mesh, Neural Rendering",Yes,Full-body,FALSE,
sun2025dut,Per-subject (multi-view video sequences),Custom multi-view captures,Real,Multi-view video,,"Tracked 3DMM, Cameras, Registered Meshes",Multi-view video,"SMPL body model, unprojected texture maps",Yes,Slow (>6h),,Multi-view Image,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
rao20253dpr,139 subjects (multi-view 4K OLAT light stage captures),Custom multi-view 4K OLAT light stage dataset,Real,OLAT multi-view image,,Cameras,One,"Pretrained generative head model (EG3D-style), 3DMM, triplane reflectance network",No,Instant (<1min),,,Distant Light,Interactive (>5 FPS),,Neural Rendering (triplane-based),No,Face,FALSE,
peng2021animatable,"Per-subject (multi-view video, 4 cameras for H36M, 21 cameras for ZJU-MoCap; 150-300 training frames per subject)","Human3.6M (4 cameras, 7 subjects), ZJU-MoCap (21 cameras)",Real,Multi-view video,,"Tracked 3DMM, Cameras",Multi-view video,"SMPL body model, neural blend weight fields for skeleton-driven deformation",Yes,Slow >6h (12h on 4x 2080Ti GPUs),,Pose,None,Offline <1 FPS (1.09s per 512x512 image),,NeRF,No,Full-body,FALSE,
burov2021dynamic,"Per-subject (single RGB-D camera, ~200 frames at 15fps per sequence)","BUFF (quantitative eval), custom RGB-D captures (Kinect Azure)",Real,RGB-D video,,"Tracked 3DMM, Cameras",RGB-D video,"SMPL body model, registered body mesh",Yes,Medium 30min-6h,,Pose,None,Interactive >5 FPS,,Mesh,No,Full-body/Garment,FALSE,
su2023iccv,Per-subject (monocular or multi-view video sequences),"Human3.6M, MonoPerfCap (2 subjects), ZJU-MoCap",Real,Mono video / Multi-view video,,Cameras,Mono video,"Template-free; learned SDF+radiance per point; K=8 nearest neighbor, 200 points per body part",Yes,Slow >6h (12h on RTX 3080 including initialization),,Pose,None,Offline <1 FPS,,Point-based Neural Rendering,No,Full-body,FALSE,
su2022danbo,"Per-subject (monocular or multi-view video; H36M 7 subjects, MonoPerfCap 2 subjects with 1151/1635 frames)","Human3.6M, MonoPerfCap",Real,Mono video / Multi-view video,,Cameras,Mono video,"Skeleton (24 body parts), GNN-based factorized per-bone volumes, soft-softmax aggregation",Yes,Slow >6h,,Pose,None,Offline <1 FPS,,NeRF,No,Full-body,FALSE,
su2021anerf,Per-subject (monocular video),"Human3.6M, MPI-INF-3DHP, MonoPerfCap",Real,Mono video,,Cameras,Mono video,"Skeleton-relative encoding with overparameterization, joint pose refinement",Yes,Slow >6h,,Pose,None,Offline <1 FPS,,NeRF,No,Full-body,FALSE,
bai2022autoavatar,"Per-subject (4D scans, 2 subjects from DFaust)","DFaust (2 subjects), AIST++ (qualitative)",Real,4D scans,,"Tracked 3DMM, Registered Meshes",Pose,"SMPL body model, autoregressive SDF with articulated observer points for soft-tissue dynamics, UV map 256x256",Yes,Slow >6h (90k + 7.5k training iterations),,Pose,None,Offline <1 FPS,,Mesh (marching cubes from SDF),No,Full-body,FALSE,
lin2022learning,"Multi-outfit (ReSynth 12 outfits, CAPE 14 outfits, cross-outfit training)","ReSynth, CAPE",Real + Synthetic,3D scans / registered meshes,,"Tracked 3DMM, Registered Meshes",Pose,"SMPL body model, diffused skinning, implicit templates then point-based offsets (two-stage), projection-based pose encoding (4 views)",Yes,Slow >6h,,Pose,None,Offline <1 FPS,,Mesh + Point cloud,No,Full-body/Garment,FALSE,
raj2021anr,"Multi-identity (Kinect V2 captures, 3-5 min videos per subject)",Custom Kinect V2 captures,Real,RGB-D video,,"Tracked 3DMM, Cameras",RGB-D video,"SMPL-like body model (1831 vertices), neural texture 256x256x8, two-stage U-Net renderer, 161M parameters",Yes,Slow >6h,,Pose,None,Interactive >5 FPS,,Neural Rendering (neural texture on coarse mesh),Yes,Full-body,FALSE,
qian2022unif,"Per-subject (3D scan sequences; CAPE 4 subjects, ClothSeq 3 subjects)","CAPE, ClothSeq",Real,3D scans,,"Tracked 3DMM, Registered Meshes",Pose,"SMPL body model, 20 part-based SDFs, Partition-from-Motion for automatic part division, Adjacent Part Seaming (APS)",Yes,Slow >6h (5k epochs training),,Pose,None,Offline <1 FPS,,Mesh (marching cubes from SDF),No,Full-body/Garment,FALSE,
mihajlovic2021leap,"Multi-subject (DFaust: 10 subjects, MoVi: 90 subjects; generalizes across subjects)","DFaust, MoVi",Real,3D scans / registered meshes,,"Tracked 3DMM, Registered Meshes",Pose,"SMPL body model (52 bones from SMPL+H), learned forward/inverse LBS, cycle-distance feature, structure/shape/pose encoders, ~1.5M parameters per network",No,Slow >6h,,Pose,None,Interactive >5 FPS,,Mesh (marching cubes from occupancy),No,Full-body,FALSE,
ma2021power,"Multi-outfit (CAPE: 3 subjects, 14 outfits; ReSynth: 24 outfits from physics simulation)","CAPE, ReSynth (custom synthetic)",Real + Synthetic,3D scans / registered meshes,,"Tracked 3DMM, Registered Meshes",One (single scan for unseen outfit animation),"SMPL/SMPL-X body model, auto-decoded geometric feature tensor (128x128x64), UNet pose encoder, 50K output points",Yes (geometric feature tensor optimization for unseen outfits),Slow >6h (400 epochs training),,Pose,None,Interactive >5 FPS (48.8ms per 50K point cloud),,"Point cloud (surfel rendering, optional Poisson surface reconstruction)",No,Full-body/Garment,FALSE,
tiwari2021neural,Per-subject (3D scan sequences; single or multiple subjects),"CAPE, DFaust, TailorNet, ClothSeq (custom), MoVi, SMPL pose-shape dataset",Real + Synthetic,3D scans,,"Tracked 3DMM, Registered Meshes",Pose,"SMPL body model (K=24 joints), canonical mapping network for volumetric skinning weights, displacement field network for pose-dependent deformation, positional encoding",Yes,Slow >6h,,Pose,None,Offline <1 FPS (marching cubes at 256 voxel resolution),,Mesh (marching cubes from SDF),No,Full-body/Garment,FALSE,
ho2023learning,"Multi-subject (CustomHumans: 600+ scans, 80 subjects, 120 garments; THuman2.0: ~500 scans, 150 garments)","CustomHumans (custom), THuman2.0, SIZER (test)",Real,3D scans,,"Tracked 3DMM, Registered Meshes",One (single 3D scan for fitting),"SMPL/SMPL-X body model, local feature codebooks on mesh vertices, auto-decoder generative framework, 2D adversarial loss, PCA-based codebook sampling",Yes (codebook optimization for model fitting),Slow >6h,,Pose,None,Interactive >5 FPS,,Mesh (marching cubes from SDF) + Neural Rendering,No,Full-body/Garment,FALSE,
shysheya2019textured,"Per-subject (multi-view video; CMU Panoptic ~7200 frames per camera, 6-16 cameras; custom multi-view 7 cameras ~11000 frames)","CMU Panoptic (2 subsets), custom multi-view captures",Real,Multi-view video,,Cameras,Mono video (can fine-tune from pre-trained multi-view model),"DensePose-based body part UV parameterization (24 parts), 3D pose estimation, learned 256x256 texture maps, 17M parameter ConvNet",Yes,Slow >6h,,Pose,None,Real-time >30 FPS,,Neural Rendering (learned texture sampling via ConvNet),No,Full-body,FALSE,
kappel2021high,"Per-subject (monocular video; ~23K frames, 7-10 minute sequences at 512x512)","Custom monocular captures (3 subjects, up to 3 clothing styles), Liu et al. dataset",Real,Mono video,,,Mono video,"2D pose estimator (OpenPose), human parsing network, Gabor filter-based garment structure extraction, pix2pixHD generator architecture, temporal derivatives for dynamics",Yes,Slow >6h (~4 days training on Quadro RTX 8000),,Pose,None,Interactive >5 FPS (~280ms per frame at 512x512),,Neural Rendering (image-to-image translation),Yes,Full-body/Garment,FALSE,
chan2019everybody,"Per-subject (single-person dance videos, 8-20 min each)","Custom single-dancer videos (5 videos filmed), YouTube dance clips",Real,Mono video,,,Mono video,OpenPose pose estimator,Yes,Slow (>6h),,Pose,None,Real-time (>30 FPS),,GAN,Yes,Full-body,FALSE,
alldieck2018video,Per-subject (120 frames from monocular video of person rotating),"People-Snapshot, BUFF, DynamicFAUST",Real,Mono video,,,Mono video,"SMPL body model, 2D joint detector, silhouette segmentation",Yes,Fast (<30min),,Pose,None,,,Mesh,No,Full-body,FALSE,
alldieck2018detailed,"Per-subject (monocular video of person rotating, ~60 keyframes for SFS)",People-Snapshot,Real,Mono video,,,Mono video,"SMPL body model (subdivided 110210 vertices), facial landmark detector, shape-from-shading",Yes,Fast (<30min),,Pose,None,,,Mesh,No,"Full-body, Face",FALSE,
chen2023primdiffusion,"796 subjects (RenderPeople, 20 poses x 36 views per subject)","RenderPeople, ZJU-MoCap","Synthetic, Real",Multi-view image,,"Tracked 3DMM, Cameras",Zero,"SMPL body model, volumetric primitives on UV manifold",No,Fast (<30min),,Pose,None,Real-time (>30 FPS),,Volumetric Primitives (decoder-free rendering),No,Full-body,FALSE,
alldieck2019tex2shape,"2043 3D scans (Twindom, RenderPeople, axyz)","Twindom, RenderPeople, axyz",Synthetic,Single image,,"Registered Meshes, Textures",One,"SMPL body model, DensePose",No,Instant (<1min),,,None,,,Mesh,No,Full-body,FALSE,
smith2019facsimile,40K synthetic training images (from body scans),Custom body scan dataset (internal),Synthetic,Single image,,Registered Meshes,One,SMPL body model,No,Instant (<1min),,Pose,None,,,Mesh,No,Full-body,FALSE,
li2025pshuman,"~3000 scans (THuman2.1: 2445 scans, CustomHumans: ~600 scans)","THuman2.1, CustomHumans, CAPE",Real,3D scans,,Registered Meshes,One,"SMPL-X body model, pretrained multiview diffusion model (Stable Diffusion), cross-scale face diffusion",Yes,Instant (<1min),,,None,,,Mesh,No,Full-body,FALSE,
weng2023personnerf,"Per-subject (unstructured photo collections, 19-24 photos per appearance set)","Custom photo collections (Getty Images, internet photos)",Real,Unstructured photos,,Registered Meshes,Collection of 2D images,"SMPL body model, HumanNeRF canonical volume, appearance embeddings, shared motion weight field",Yes,Slow (>6h),,Pose,None,Offline (<1 FPS),,NeRF,No,Full-body,FALSE,
shao2024isa4d,1M real videos + 100K synthetic videos,"Human4DiT, Pexel, OpenVID-1M, MiraData, Koala-36M, PointOdyssey synthetic, Kinetics-600",Both,Video,,Registered Meshes,One,"SMPL body model, pretrained video diffusion transformer (SD3-based), custom video VAE, Plucker camera embeddings",No,Slow (>6h),,"Pose, Camera",None,Offline (<1 FPS),,Video Diffusion,No,Full-body,FALSE,
lu2025gas,~4500 3D scans + 944 multi-view video subjects + ~400 monocular videos,"THuman2.1, 2K2K, MVHumanNet, TikTok, Champ",Both,"3D scans, Multi-view video, Mono video",,"Registered Meshes, Cameras",One,"SMPL body model, generalizable NeRF, pretrained Stable Video Diffusion 1.1, domain switcher",No,Slow (>6h),,Pose,None,Offline (<1 FPS),,Video Diffusion,No,Full-body,FALSE,
hong2025free,1084 identities (MSTed) + 33 identities (DyMVHumans),"MSTed (custom), DyMVHumans",Real,Video,,,One or multiple reference images,"DWPose skeleton, SMPL body model, pretrained Stable Diffusion UNet, ReferenceNet, pose correlation module",No,Slow (>6h),,"Pose, Camera",None,Offline (<1 FPS),,Video Diffusion,No,Full-body,FALSE,
hu2024gauhuman,Per-subject (monocular video sequences),"ZJU-MoCap, MonoCap",Real,Mono video,,Registered Meshes,Mono video,"SMPL body model, LBS weight field MLP, pose refinement MLP, KL divergence-guided density control",Yes,Instant (<1min),,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
hu2024expressive,Per-subject (monocular RGB video),"ZJU-MoCap, custom UPB benchmark (in-the-wild upper body videos)",Real,Mono video,,Registered Meshes,Mono video,"SMPL-X body model, SMPL-X alignment module (fitting-based optimization), context-aware adaptive density control, confidence-aware feedback",Yes,Fast (<30min),,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body/Face/Hands,FALSE,
wen2024gomavatar,Per-subject (monocular video sequences),"ZJU-MoCap, PeopleSnapshot, YouTube videos",Real,Mono video,,Registered Meshes,Mono video,"SMPL body model, Gaussians-on-Mesh (GoM) hybrid representation, pseudo albedo/shading decomposition",Yes,Fast (<30min),,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
shin2024canonicalfusion,"Trained on THuman2.0 (500 scans), CustomHumans, CAPE","THuman2.0, CustomHumans, CAPE",Real,3D scans,,Registered Meshes,One or multiple images,"SMPL-X body model, compressed LBS weight prediction (stacked autoencoder MLP), forward skinning-based differentiable rendering",Yes,Fast (<30min),,"Pose, Text (via T2M-GPT)",None,Real-time (>30 FPS),,Mesh,No,Full-body,FALSE,
paudel2024ihuman,Per-subject (monocular video sequences),"ZJU-MoCap, PeopleSnapshot, custom sequences",Real,Mono video,,Registered Meshes,Mono video,"SMPL body model, mesh-bound Gaussians, hash encoder for vertex displacement MLP, pix2pixHD normal prediction",Yes,Instant (<1min),,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
huang2025wildavatar,"10,000+ subjects (in-the-wild YouTube videos)","WildAvatar (custom), ZJU-MoCap, PeopleSnapshot",Real,Mono video,,,Mono video,"SMPL body model, automatic annotation pipeline (YOLO, SAM, HMR), filtering protocols for quality control",Yes,Slow (>6h),,Pose,None,Offline (<1 FPS),,NeRF,No,Full-body,FALSE,
lin2025omnihuman1,18.7K hours of human-related video data,"In-house human videos, CelebV-HQ, RAVDESS, CyberHost test set",Real,Video,,,One image + audio/pose/text,"Pretrained MMDiT text-to-video model, wav2vec audio encoder, pose guider (skeleton maps), 3D causal VAE",No,Slow (>6h),,"Audio, Pose, Text",None,Offline (<1 FPS),,Video Diffusion,No,Full-body/Face,FALSE,
huang2020arch,582 3D scans (375 RenderPeople + 207 AXYZ),"RenderPeople, AXYZ, BUFF, DeepFashion",Real,Meshes,,Tracked 3DMM,One,"SMPL body model, skinning weights, Linear Blend Skinning",No,Instant <1min,,Pose,None,Offline <1 FPS,,"Implicit function (occupancy field) with Marching Cubes, differentiable rendering for refinement",Yes,"Full-body, Garment, Hair",FALSE,
he2021arch++,580 3D scans (375 RenderPeople + 205 AXYZ),"RenderPeople, AXYZ, BUFF",Real,Meshes,,Tracked 3DMM,One,"SMPL body model, PointNet++ geometry encoder, Pix2Pix image translation for normal/texture",No,Instant <1min,,Pose,None,Offline <1 FPS,,"Pixel-aligned implicit functions with joint-space occupancy, Marching Cubes, Pix2Pix-based normal/texture refinement",Yes,"Full-body, Garment, Hair",FALSE,
pan2023renderme360,"500 identities, 243M+ frames, 800K+ video sequences",RenderMe-360,Real,Multi-view video,,"Tracked 3DMM, Cameras",Multi-view video,"FLAME fitting, 2D/3D facial landmarks, matting, 3D scans, text descriptions",Yes,Slow >6h,,3DMM expr,None,Offline <1 FPS,,NeRF-based and other neural rendering (benchmark with 16 methods on 5 tasks),No,"Face, Hair",FALSE,
Yang2020facescape,18760 textured 3D faces from 938 subjects,FaceScape,Real,Multi-view image,,"Registered Meshes, Textures",One,"3DMM for coarse shape, displacement maps for detail, expression-specific detail network",No,Instant <1min,,3DMM expr,None,Offline <1 FPS,,"3DMM reconstruction with learned displacement maps, deep neural network for expression-specific details",No,Face,FALSE,
Zhu2023facescape,16940 textured 3D faces from 847 subjects,FaceScape,Real,Multi-view image,,"Registered Meshes, Textures",One,"3DMM for coarse shape, displacement maps for detail, expression-specific detail network",No,Instant <1min,,3DMM expr,None,Offline <1 FPS,,"3DMM reconstruction with learned displacement maps, single-view 3D face reconstruction benchmark",No,Face,FALSE,
giebenhain2023nphm,5200 head scans from 255 identities,Custom high-end 3D scanning dataset,Real,Meshes,,Registered Meshes,Meshes,Ensemble of local neural fields centered around facial anchor points,Yes,Medium <6h,,General expr,None,Offline <1 FPS,,"Neural SDF with neural deformation field, hybrid local-global neural fields",No,"Face, Hair",FALSE,
wang2022faceverse,60K RGB-D images + 2K high-fidelity 3D head scans,Custom hybrid East Asian face dataset,Real,Meshes,,"Registered Meshes, Textures",One,"Coarse-to-fine parametric model, conditional StyleGAN for detail, differentiable rendering for fitting",Yes,Fast <30min,,3DMM expr,None,Offline <1 FPS,,"Parametric 3D mesh model with conditional StyleGAN-based detail generation, differentiable rendering",No,Face,FALSE,
zheng2023ilsh,"52 subjects, 1248 images",ILSH (Imperial Light-Stage Head),Real,Multi-view image,,Cameras,Multi-view images,"Light-stage capture with 82 lighting sources, border masks",Yes,Medium <6h,,Multi-view Image,None,Offline <1 FPS,,Neural rendering / novel view synthesis (dataset designed for view synthesis benchmarking),No,"Face, Hair",FALSE,
papaioannou2022mimicme,"4700 subjects, 280000 3D meshes",MimicMe,Real,Meshes,,"Registered Meshes, Textures",Zero,"NICP registration, 3D facial landmarks (55K manually corrected), LSFM pipeline, StyleGANv2 for texture completion",No,Instant <1min,,3DMM expr,None,Offline <1 FPS,,"3D Morphable Model with PCA-based blendshapes (28 components), joint GAN model for shape+expression+texture+normals synthesis",No,Face,FALSE,
Buehler2024cafca,Not specified,Not specified,Real,Multi-view image,,"Tracked 3DMM, Cameras",Few,"3DMM-based face tracking, neural radiance fields",Yes,Medium <6h,,3DMM expr,None,Offline <1 FPS,,Neural rendering for novel view synthesis of expressive faces from casual few-shot captures,No,Face,FALSE,
he2024head360,100 artist-designed high-fidelity heads (SynHead100),SynHead100,Synthetic,Meshes,,"Tracked 3DMM, Textures",One,"Parametric 3D mesh model (FLAME-like), neural texture, hairstyle decomposition",Yes,Fast <30min,,3DMM expr,None,Offline <1 FPS,,"Parametric mesh with neural texture, hairstyle-appearance decomposition, 360-degree free-view rendering",No,"Face, Hair",FALSE,
wang2020mead,"60 actors, 281400 clips (~40h per actor per view), 7 views",MEAD,Real,Multi-view video,,,One,"Facial landmarks, MFCC audio features, PCA for landmark reduction, pretrained VGG16, emotion/intensity classifiers",No,Slow (>6h),,Audio,None,Offline (<1 FPS),,GAN (U-Net generator with refinement network),Yes,Face,FALSE,
drobyshev2024emoportraits,Large-scale (multi-view video dataset with intense asymmetric expressions + existing datasets),"Custom multi-view video dataset, MEAD, VoxCeleb",Real,Multi-view video,,,One,MegaPortraits-style latent space for expression descriptors,No,Slow (>6h),,"Video, Audio",None,Real-time (>30 FPS),,Neural Rendering (encoder-decoder with warping),No,Face,FALSE,
cui2025hallo3,Large-scale (pretrained video diffusion transformer),"Benchmark datasets, custom wild datasets",Real,Mono video,,,One,"Pretrained video diffusion transformer backbone, causal 3D VAE, identity reference network",No,Slow (>6h),,Audio,None,Offline (<1 FPS),,Diffusion (Video Diffusion Transformer),No,Face,FALSE,
zhu2022celebvhq,"35666 video clips, 15653 identities, 512x512+ resolution",CelebV-HQ,Real,Mono video,,,Zero,"83 facial attribute annotations (appearance, action, emotion)",No,Slow (>6h),,,None,Offline (<1 FPS),,"GAN (StyleGAN-V, DIGAN for unconditional video generation benchmark)",No,Face,FALSE,
yu2023celebvtext,"70000 in-the-wild face video clips, each with 20 text descriptions",CelebV-Text,Real,Mono video,,,Text,"Semi-automatic text generation strategy, static and dynamic attribute annotations",No,Slow (>6h),,Text,None,Offline (<1 FPS),,Diffusion / GAN (benchmark with representative text-to-video methods),No,Face,FALSE,
teufel2025humanolat,Large-scale multi-view OLAT captures of full-body humans (HDR RGB),HumanOLAT,Real,OLAT multi-view image,,Cameras,Multi-view images,"OLAT illumination patterns (white light, environment maps, color gradients, fine-grained OLAT)",Yes,Slow (>6h),,,Distant Light,Offline (<1 FPS),,Neural Rendering (benchmarked with state-of-the-art relighting and NVS methods),No,Full-body,FALSE,
yu2021function4d,Per-subject (sparse RGBD sensor captures),"THuman2.0, custom captures",Real,Multi-view video,,Cameras,Depth,"Deep implicit functions for RGBD, dynamic sliding fusion for temporal consistency",Yes,Fast (<30min),,,None,Real-time (>30 FPS),,Deep implicit functions (occupancy-based volumetric reconstruction),No,Full-body,FALSE,
shao2024human4dit,"Large-scale multi-dimensional dataset (images, videos, multi-view data, limited 4D footage)",Custom multi-dimensional dataset,Real,Multi-view video,,Cameras,One,"Pretrained diffusion transformer, SMPL body model, camera parameters, multi-dimensional training strategy",No,Slow (>6h),,Pose,None,Offline (<1 FPS),,Diffusion (4D Diffusion Transformer with hierarchical factorized self-attention),No,Full-body,FALSE,
zhu2023tryondiffusion,4 million paired image samples,"Custom 4M paired try-on dataset, VITON-HD",Real,Single image,,,One,"Human parsing model, 2D pose estimation, clothing-agnostic RGB representation",No,Slow (>6h),,Pose,None,Offline (<1 FPS),,"Diffusion (cascaded Parallel-UNet with cross attention for implicit garment warping, 1024x1024)",Yes,"Full-body, Garment",FALSE,
kolotouros2023dreamhuman,"N/A (zero-shot, uses pretrained text-to-image model)",None (leverages pretrained Imagen text-to-image model),Generated,Single image,,,Text,"SMPL body model, Imagen text-to-image diffusion model, Score Distillation Sampling",Yes,Slow (>6h),,Pose,None,Offline (<1 FPS),,NeRF,No,"Full-body, Garment",FALSE,
yang2022banmo,N/A (per-subject optimization from casual videos),"AMA (human), Custom cat/dog videos",Real,Mono video,,,Mono video,"Canonical embeddings (DINO/CSE features), neural blend skinning, optical flow",Yes,Slow (>6h),,Pose,None,Offline (<1 FPS),,NeRF,No,Full-body,FALSE,
han2018viton,~16000 pairs (Zalando dataset),Zalando,Real,Single image,,,One,"Human pose estimation, human parsing, shape context TPS warping",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,CNN (coarse-to-fine encoder-decoder),Yes,"Full-body, Garment",FALSE,
wang2018toward,~16000 pairs (Zalando dataset),Zalando (VITON dataset),Real,Single image,,,One,"Human pose estimation, human parsing, Thin-Plate Spline (TPS) transformation",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,CNN (Geometric Matching Module + Try-On Module with composition mask),Yes,"Full-body, Garment",FALSE,
choi2021viton,"~16000 pairs (VITON dataset, high-resolution 1024x768)",VITON (high-resolution version),Real,Single image,,,One,"Human parsing, pose estimation, ALIAS normalization",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,"CNN (ALIAS generator with misalignment-aware normalization, 1024x768)",Yes,"Full-body, Garment",FALSE,
dong2019towards,"~19000 pairs (MPV dataset, largest virtual try-on benchmark)","MPV (Multi-Pose Virtual try-on), DeepFashion",Real,Single image,,,One,"Human parsing, pose estimation, Warp-GAN",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,GAN (3-stage: parsing synthesis + Warp-GAN + refinement render),Yes,"Full-body, Garment",FALSE,
albahar2021pose,"~100000 frames (DeepFashion, iPER datasets)","DeepFashion, iPER",Real,Single image,,,One,"DensePose (UV correspondence), human body symmetry prior, StyleGAN2 generator",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,Conditional StyleGAN (spatially varying modulation with warped features),No,Full-body,FALSE,
lewis2021tryongan,~500000 images (images of people wearing garments for StyleGAN2 training),Custom dataset of people wearing garments,Real,Single image,,,One,"Pose-conditioned StyleGAN2, clothing segmentation, DensePose",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,"StyleGAN2 (layered latent space interpolation, 512x512)",No,"Full-body, Garment",FALSE,
zhu2024m,Large (proprietary multi-garment dataset),Custom multi-garment dataset,Real,Single image,,,One,"Diffusion model, PaLI-3 (finetuned for VTO layout control), DensePose, identity finetuning (6MB per person)",No,Instant (<1min),,"Pose, Text",None,Interactive (>5 FPS),,"Diffusion (VTO UNet Diffusion Transformer, 1024x512)",No,"Full-body, Garment",FALSE,
ji2022geometry,~2000 (synthetic training images rendered with human geometry),"Custom synthetic dataset, HDRI environment maps",Synthetic,Single image,,Tracked 3DMM,One,"SMPL body model, PIFuHD geometry reconstruction, ray tracing-based per-pixel lighting, HRNet-based de-lighting",No,Instant (<1min),,,Distant Light,Offline (<1 FPS),,Neural Rendering (ray-traced shading maps + learned refinement),Yes,Full-body,FALSE,
junkawitsch2025eva,Per-subject (multi-view video sequences),Custom multi-view captures,Real,Multi-view video,,"Tracked 3DMM, Cameras, Registered Meshes",Multi-view video,"SMPL-X body model, FLAME face model, coarse-to-fine template tracking, decoupled body/face Gaussian modules",Yes,Slow (>6h),,"3DMM expr, Pose",None,Real-time (>30 FPS),,3DGS,No,"Full-body, Face, Hands",FALSE,
nam2025parte,~2000 scans (THuman2.0 + CustomHumans),"THuman2.0, CustomHumans",Real,Single image,,Registered Meshes,One,"SMPL body model, 3D part segmentation module, pretrained image generation network for texture alignment",Yes,Medium (<6h),,,None,Offline (<1 FPS),,Mesh (textured mesh with part-guided texture inpainting),Yes,"Full-body, Garment",FALSE,
hema2024famous,Large-scale 2D fashion datasets + 3D human benchmarks,"DeepFashion, THuman2.0",Real,Single image,,Registered Meshes,One,"SMPL body model, deep implicit functions (PIFu-style), 2D fashion priors for back-view prediction, domain alignment",No,Instant (<1min),,,None,Offline (<1 FPS),,Mesh (implicit function-based textured mesh),No,Full-body,FALSE,
dong2025moga,~2000 scans (THuman2.0 + CustomHumans for generative avatar training),"THuman2.0, CustomHumans",Synthetic,Multi-view image,,Registered Meshes,One,"SMPL body model, generative avatar model (learned prior distribution), 2D diffusion model for unseen view synthesis",Yes,Medium (<6h),,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
huang2025adahuman,~2000 scans (THuman2.1 + CustomHumans for training),"THuman2.1, CustomHumans",Synthetic,Multi-view image,,Registered Meshes,One,"SMPL body model, pose-conditioned 3D joint diffusion model, compositional 3DGS refinement, crop-aware camera ray map",No,Fast (<30min),,Pose,None,Real-time (>30 FPS),,3DGS + Diffusion,Yes,Full-body,FALSE,
kolotouros2024instant,Large-scale (billions of text-image pairs for diffusion pretraining + 3D human scans),"Pretrained Stable Diffusion, 3D human scans",Synthetic,Multi-view image,,Registered Meshes,One,"SMPL body model, latent diffusion network (fine-tuned for back-view prediction), 3D lifting network",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,Mesh (3D lifting from diffusion-generated multi-view),No,Full-body,FALSE,
yang2025sigman,1000000 (HGS-1M dataset of 3D Gaussian assets),HGS-1M,Synthetic,Multi-view image,,Registered Meshes,One,"SMPL body model, UV-structured VAE, DiT-based conditional generation",No,Instant (<1min),,,None,Real-time (>30 FPS),,3DGS + Diffusion (DiT),No,Full-body,FALSE,
qiu2025pf,Large-scale (synthetic + real datasets for training),"THuman2.0, CustomHumans, real captures",Synthetic,Multi-view image,,Registered Meshes,Few,"SMPL body model, Encoder-Decoder Point-Image Transformer, hierarchical geometric point features, multimodal attention",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
jin2025diffuman4d,Large-scale multi-view video datasets,"DNA-Rendering, ActorsHQ",Real,Multi-view video,,Cameras,Multi-view video,"4D diffusion model, sliding iterative denoising, camera pose conditioning, human pose conditioning",No,Fast (<30min),,Multi-view Image,None,Offline (<1 FPS),,Diffusion (spatio-temporal video diffusion),No,Full-body,FALSE,
yang2024have,Per-subject (few-shot unconstrained images),Custom benchmarks,Real,Single image,,Tracked 3DMM,Few,"SMPL body model, DMTet (Deep Marching Tetrahedra), skinning mechanism, SDS-based few-shot guidance for unseen regions",Yes,Slow (>6h),,Pose,None,Offline (<1 FPS),,Mesh (DMTet-based),Yes,"Full-body, Hands",FALSE,
xiao2024neca,Per-subject (monocular or sparse-view video),"ZJU-MoCap, PeopleSnapshot",Real,"Mono video, Multi-view video",,"Tracked 3DMM, Cameras","Mono video, Multi-view video",SMPL body model,Yes,Slow (>6h),,Pose,Distant Light,Offline (<1 FPS),,"NeRF (volumetric rendering with disentangled geometry, albedo, shadow fields)",No,Full-body,FALSE,
bolanos2024gaussian,Per-subject (monocular video),Custom outdoor scenes,Real,Mono video,,"Tracked 3DMM, Cameras",Mono video,"SMPL body model, Gaussian density proxy for shadow computation",Yes,Slow (>6h),,Pose,Distant Light,Offline (<1 FPS),,Deferred neural rendering with Gaussian shadow casting,Yes,Full-body,FALSE,
